barcode,name,image
7622300876760,Original,https://images.openfoodfacts.org/images/products/762/230/087/6760/front_en.6.400.jpg
6222024104524,Date Biscuits,https://images.openfoodfacts.org/images/products/622/202/410/4524/front_fr.3.400.jpg
6224008526506,Maxi Cola,https://images.openfoodfacts.org/images/products/622/400/852/6506/front_en.4.400.jpg
6221033001275,Mustard,https://images.openfoodfacts.org/images/products/622/103/300/1275/front_en.7.400.jpg
6223000276549,,https://images.openfoodfacts.org/images/products/622/300/027/6549/front_en.3.400.jpg
6224008857136,"Ice Cream, Vanilla And Caramel Combo",
7622202015915,,https://images.openfoodfacts.org/images/products/762/220/201/5915/front_en.5.400.jpg
6221333002767,,https://images.openfoodfacts.org/images/products/622/133/300/2767/front_en.3.400.jpg
8410175046192,,
6221031490125,Abdulltiks jjjj,https://images.openfoodfacts.org/images/products/622/103/149/0125/front_en.8.400.jpg
6223001874294,Full Cream Milk,https://images.openfoodfacts.org/images/products/622/300/187/4294/front_en.9.400.jpg
6223001030508,Salt,https://images.openfoodfacts.org/images/products/622/300/103/0508/front_en.17.400.jpg
6223000411001,windows,
6223000430026,Whole wheat toast bread,https://images.openfoodfacts.org/images/products/622/300/043/0026/front_fr.3.400.jpg
6221031490132,Chips,https://images.openfoodfacts.org/images/products/622/103/149/0132/front_fr.3.400.jpg
90162602,Energy Drink,https://images.openfoodfacts.org/images/products/000/009/016/2602/front_en.134.400.jpg
6223000410912,,https://images.openfoodfacts.org/images/products/622/300/041/0912/front_en.4.400.jpg
6223000495124,MAGNUM,https://images.openfoodfacts.org/images/products/622/300/049/5124/front_en.8.400.jpg
6224000432003,Fresh Milk Full Cream,https://images.openfoodfacts.org/images/products/622/400/043/2003/front_en.8.400.jpg
6223000082201,Fayrouz pineapple carbonated beverage,https://images.openfoodfacts.org/images/products/622/300/008/2201/front_en.6.400.jpg
6223000352656,Zabadou,https://images.openfoodfacts.org/images/products/622/300/035/2656/front_en.21.400.jpg
6223001930594,Pure life,https://images.openfoodfacts.org/images/products/622/300/193/0594/front_fr.3.400.jpg
6222002300153,شاي العروسه,https://images.openfoodfacts.org/images/products/622/200/230/0153/front_ar.3.400.jpg
